# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Probability of Picking Optimal,Actual Probability
24,100,0,5.5,24,0.2437391589,0.9278497393
24,200,0,11.2,57,0.372536309,0.9278497393
24,300,0,18.9,108,0.5055952604,0.9278497393
24,400,0,26.1,152,0.5229519266,0.9278497393
24,500,0,34.9,204,0.5436766171,0.9278497393
24,600,0,42.9,262,0.5813024111,0.9278497393
24,700,0,51.3,313,0.5388614331,0.9278497393
24,800,0,60,381,0.6569249041,0.9278497393
24,900,0,68.6,449,0.7133557673,0.9278497393
24,1000,0,77.7,529,0.7697126098,0.9278497393
24,1100,0,86.9,605,0.8068850938,0.9278497393
24,1200,0,96.3,698,0.9000622922,0.9278497393
24,1300,0,105.8,792,0.9108111262,0.9278497393
24,1400,0,114.6,886,0.9359661899,0.9278497393
24,1500,0,124,984,0.9609913422,0.9278497393
24,1600,0,133,1081,0.9668279841,0.9278497393
24,1700,0,142,1178,0.9644369146,0.9278497393
24,1800,0,151,1273,0.9535880441,0.9278497393
24,1900,0,160,1371,0.9755765456,0.9278497393
24,2000,0,169.5,1469,0.9810691709,0.9278497393
24,2100,0,178.9,1569,0.9926399981,0.9278497393
24,2200,0,188,1669,0.9970509602,0.9278497393
24,2300,0,197.4,1769,0.9988534607,0.9278497393
24,2400,0,206.1,1869,0.9995217545,0.9278497393
24,2500,0,215.6,1968,0.9918797824,0.9278497393
24,2600,0,224.6,2068,0.9967134883,0.9278497393
24,2700,0,233.7,2166,0.9869387406,0.9278497393
24,2800,0,242.7,2261,0.9508384632,0.9278497393
24,2900,0,251.6,2359,0.9751483715,0.9278497393
24,3000,0,260.8,2456,0.966075544,0.9278497393
24,3100,0,269.7,2553,0.9675751801,0.9278497393
24,3200,0,279.2,2644,0.9278528963,0.9278497393
24,3300,0,288.5,2740,0.9470888836,0.9278497393
24,3400,0,297.9,2837,0.9634738121,0.9278497393
24,3500,0,307,2929,0.9280088593,0.9278497393
24,3600,0,315.9,3027,0.9549240977,0.9278497393
24,3700,0,324.5,3117,0.9271530657,0.9278497393
24,3800,0,333.9,3213,0.9445011724,0.9278497393
24,3900,0,342.8,3313,0.9773109596,0.9278497393
24,4000,0,351.8,3411,0.974878776,0.9278497393
24,4100,0,361.3,3504,0.9532225092,0.9278497393
24,4200,0,370.6,3598,0.9419700843,0.9278497393
24,4300,0,380,3697,0.9700418983,0.9278497393
24,4400,0,389.3,3797,0.9882351231,0.9278497393
24,4500,0,398.4,3897,0.9952859944,0.9278497393
24,4600,0,407.8,3997,0.9981672704,0.9278497393
24,4700,0,417.4,4097,0.9993016437,0.9278497393
24,4800,0,426.6,4196,0.9936118051,0.9278497393
24,4900,0,435.7,4294,0.983549485,0.9278497393
24,5000,0,444.7,4391,0.9750971326,0.9278497393
25,0,5,0,0,0.1,0.907207022
25,100,5,5.3,19,0.2043182958,0.907207022
25,200,5,11,57,0.3473807858,0.907207022
25,300,5,17.9,102,0.4547226539,0.907207022
25,400,5,25.1,147,0.5265935025,0.907207022
25,500,5,32.5,202,0.6011736115,0.907207022
25,600,5,41,264,0.6534734537,0.907207022
25,700,5,48.6,333,0.719884375,0.907207022
25,800,5,57.3,402,0.7363705291,0.907207022
25,900,5,66.2,480,0.7840734046,0.907207022
25,1000,5,74.3,552,0.794641996,0.907207022
25,1100,5,82.5,632,0.8225166702,0.907207022
25,1200,5,91.1,717,0.8522565845,0.907207022
25,1300,5,100.4,805,0.8902738994,0.907207022
25,1400,5,108.8,892,0.9102975178,0.907207022
25,1500,5,117.3,986,0.9419214426,0.907207022
25,1600,5,126.3,1080,0.9389671284,0.907207022
25,1700,5,135.7,1175,0.9484675413,0.907207022
25,1800,5,144.7,1272,0.9651804191,0.907207022
25,1900,5,153.3,1371,0.985329319,0.907207022
25,2000,5,161.9,1469,0.9784392415,0.907207022
25,2100,5,170.6,1568,0.9837567541,0.907207022
25,2200,5,179.9,1665,0.9837529136,0.907207022
25,2300,5,188.6,1765,0.993223001,0.907207022
25,2400,5,197.7,1865,0.9972845605,0.907207022
25,2500,5,206.5,1965,0.9988786602,0.907207022
25,2600,5,215.2,2065,0.9995322657,0.907207022
25,2700,5,224.1,2165,0.9998087808,0.907207022
25,2800,5,233.2,2265,0.9999233814,0.907207022
25,2900,5,242.1,2365,0.9999686768,0.907207022
25,3000,5,251.1,2465,0.9999873225,0.907207022
25,3100,5,260.2,2565,0.9999949203,0.907207022
25,3200,5,269.3,2665,0.9999979646,0.907207022
25,3300,5,278.6,2765,0.9999992007,0.907207022
25,3400,5,288.2,2865,0.9999996954,0.907207022
25,3500,5,297.6,2965,0.9999998816,0.907207022
25,3600,5,306.7,3065,0.9999999526,0.907207022
25,3700,5,316,3165,0.9999999814,0.907207022
25,3800,5,325.1,3265,0.9999999925,0.907207022
25,3900,5,334.3,3365,0.999999997,0.907207022
25,4000,5,343.1,3465,0.9999999988,0.907207022
25,4100,5,351.9,3565,0.9999999995,0.907207022
25,4200,5,361.3,3665,0.9999999998,0.907207022
25,4300,5,370.1,3765,0.9999999999,0.907207022
25,4400,5,379.3,3865,1,0.907207022
25,4500,5,388.2,3965,1,0.907207022
25,4600,5,397.1,4065,1,0.907207022
25,4700,5,406.4,4165,1,0.907207022
25,4800,5,415.4,4265,1,0.907207022
25,4900,5,424.7,4365,1,0.907207022
25,5000,5,433.5,4465,1,0.907207022
26,0,0,0,0,0.1,0.6976001698
26,100,0,3.9,4,0.09129231174,0.6976001698
26,200,0,8.4,9,0.08276855932,0.6976001698
26,300,0,13.1,15,0.06770654256,0.6976001698
26,400,0,18,19,0.04892382826,0.6976001698
26,500,0,22.9,23,0.03960118487,0.6976001698
26,600,0,28.7,24,0.02210800056,0.6976001698
26,700,0,34.7,27,0.03676924381,0.6976001698
26,800,0,40,35,0.08789912907,0.6976001698
26,900,0,46,47,0.12162369,0.6976001698
26,1000,0,53,63,0.1393605425,0.6976001698
26,1100,0,60,82,0.1830770311,0.6976001698
26,1200,0,66.3,104,0.2170240051,0.6976001698
26,1300,0,72.7,114,0.1593663,0.6976001698
26,1400,0,78.4,132,0.1769625253,0.6976001698
26,1500,0,84.1,156,0.2247479004,0.6976001698
26,1600,0,90.8,178,0.2062192918,0.6976001698
26,1700,0,97.6,202,0.2370106955,0.6976001698
26,1800,0,104.2,225,0.2533458887,0.6976001698
26,1900,0,110.9,257,0.3109808727,0.6976001698
26,2000,0,117.1,292,0.3428655091,0.6976001698
26,2100,0,123.8,336,0.4062357842,0.6976001698
26,2200,0,130.7,382,0.4396013983,0.6976001698
26,2300,0,137.3,442,0.5291758594,0.6976001698
26,2400,0,144.2,491,0.5621158742,0.6976001698
26,2500,0,150.5,533,0.5250708646,0.6976001698
26,2600,0,158.2,575,0.4688239732,0.6976001698
26,2700,0,165.4,632,0.5327377851,0.6976001698
26,2800,0,172.5,693,0.6013600297,0.6976001698
26,2900,0,178.4,753,0.6006620486,0.6976001698
26,3000,0,184.9,810,0.5902393015,0.6976001698
26,3100,0,192.2,881,0.6818156108,0.6976001698
26,3200,0,199.5,962,0.7352516813,0.6976001698
26,3300,0,205.8,1040,0.7672938404,0.6976001698
26,3400,0,212.9,1126,0.8185270753,0.6976001698
26,3500,0,220,1208,0.8195030235,0.6976001698
26,3600,0,227.3,1279,0.7532457472,0.6976001698
26,3700,0,233.7,1348,0.7223766331,0.6976001698
26,3800,0,240.7,1417,0.726641189,0.6976001698
26,3900,0,247.1,1493,0.7523135234,0.6976001698
26,4000,0,254.4,1574,0.8002664423,0.6976001698
26,4100,0,261.6,1654,0.7862844682,0.6976001698
26,4200,0,268.2,1730,0.7885798565,0.6976001698
26,4300,0,274.5,1815,0.8277216922,0.6976001698
26,4400,0,280.8,1901,0.8632581855,0.6976001698
26,4500,0,288.3,1987,0.8682938926,0.6976001698
26,4600,0,295.5,2078,0.8834929501,0.6976001698
26,4700,0,302.5,2162,0.8601272412,0.6976001698
26,4800,0,309,2249,0.8716169625,0.6976001698
26,4900,0,315.4,2336,0.8582840134,0.6976001698
26,5000,0,322.4,2424,0.8518240076,0.6976001698
27,0,0,0,0,0.1,0.7514507938
27,100,0,3.1,9,0.1267595985,0.7514507938
27,200,0,6.6,20,0.1456338773,0.7514507938
27,300,0,11.6,37,0.2004931315,0.7514507938
27,400,0,16.8,60,0.2658193107,0.7514507938
27,500,0,22.9,93,0.3197666827,0.7514507938
27,600,0,29.1,127,0.3364032699,0.7514507938
27,700,0,35.9,160,0.3528675929,0.7514507938
27,800,0,42.4,191,0.364332435,0.7514507938
27,900,0,49.4,225,0.3636372088,0.7514507938
27,1000,0,56.1,268,0.4137498579,0.7514507938
27,1100,0,63.2,309,0.4348914731,0.7514507938
27,1200,0,70.1,348,0.4081911238,0.7514507938
27,1300,0,77.8,376,0.3242328999,0.7514507938
27,1400,0,84,417,0.3651404605,0.7514507938
27,1500,0,90.6,455,0.4006571115,0.7514507938
27,1600,0,98.4,491,0.374379269,0.7514507938
27,1700,0,105.7,520,0.343733728,0.7514507938
