# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Actual Probability
74,3800,6,370.7,9,0.9901251517
74,3900,6,380.4,9,0.9901251517
74,4000,6,390,9,0.9901251517
74,4100,6,399.9,9,0.9901251517
74,4200,6,409.8,9,0.9901251517
74,4300,6,419.7,9,0.9901251517
74,4400,6,429.6,9,0.9901251517
74,4500,6,439.5,9,0.9901251517
74,4600,6,449.3,9,0.9901251517
74,4700,6,459.1,9,0.9901251517
74,4800,6,468.8,9,0.9901251517
74,4900,6,478.8,9,0.9901251517
74,5000,6,488.7,9,0.9901251517
75,0,3,0,0,0.9944324759
75,100,3,9,91,0.9944324759
75,200,3,18.9,191,0.9944324759
75,300,3,28.9,291,0.9944324759
75,400,3,38.9,391,0.9944324759
75,500,3,48.7,491,0.9944324759
75,600,3,58.6,591,0.9944324759
75,700,3,68.5,691,0.9944324759
75,800,3,78.5,791,0.9944324759
75,900,3,88.5,891,0.9944324759
75,1000,3,98.5,991,0.9944324759
75,1100,3,108.3,1091,0.9944324759
75,1200,3,118.2,1191,0.9944324759
75,1300,3,128,1291,0.9944324759
75,1400,3,138,1391,0.9944324759
75,1500,3,147.9,1491,0.9944324759
75,1600,3,157.9,1591,0.9944324759
75,1700,3,167.9,1691,0.9944324759
75,1800,3,177.9,1791,0.9944324759
75,1900,3,187.9,1891,0.9944324759
75,2000,3,197.9,1991,0.9944324759
75,2100,3,207.8,2091,0.9944324759
75,2200,3,217.8,2191,0.9944324759
75,2300,3,227.7,2291,0.9944324759
75,2400,3,237.6,2391,0.9944324759
75,2500,3,247.6,2491,0.9944324759
75,2600,3,257.6,2591,0.9944324759
75,2700,3,267.6,2691,0.9944324759
75,2800,3,277.6,2791,0.9944324759
75,2900,3,287.6,2891,0.9944324759
75,3000,3,297.5,2991,0.9944324759
75,3100,3,307.4,3091,0.9944324759
75,3200,3,317.2,3191,0.9944324759
75,3300,3,327.2,3291,0.9944324759
75,3400,3,337.2,3391,0.9944324759
75,3500,3,347.1,3491,0.9944324759
75,3600,3,357,3591,0.9944324759
75,3700,3,367,3691,0.9944324759
